2,15,121,417,1057,2054,3502,5507,8315,12462,20189,47240,74672,104515,
1,17,138,504,1165,2570,5056,7148,11577,16327,23463,42083,63979,97223,
2,16,137,428,1130,2213,3874,6244,9487,14982,20658,36996,66648,97967,
3,17,134,476,1108,2300,4216,6632,10501,15559,22198,40556,65863,95134,
1,15,121,413,1011,1975,3421,5822,8618,13102,19000,37109,61605,101100,
2,16,134,478,1117,2212,3963,6690,10933,16965,23841,45930,63482,97824,
2,15,133,455,1099,2179,3932,8220,11052,16597,23017,42525,63372,96042,
2,16,129,445,1095,2144,3768,6651,9834,16818,23467,39467,70408,102011,
2,16,129,438,1064,2184,4336,7879,9919,14832,22486,42328,64428,99708,
2,16,129,445,1075,2142,4281,7983,10429,16288,22115,39221,64145,98295,
