2,11,109,429,970,1829,2675,4064,5891,8754,12319,23136,42365,67263,
2,10,116,462,1189,1991,2817,4261,6436,9136,12937,24405,43111,68398,
3,22,147,547,1234,2306,3467,5093,7185,9622,13640,25162,42387,68261,
2,17,115,556,1327,2309,3663,5153,7372,9618,13362,24282,43510,67416,
6,11,148,581,1251,2174,3611,5237,6809,9752,13240,24564,43353,68309,
6,18,135,555,1329,2443,3677,5130,6970,9810,13502,24398,43728,69256,
2,10,137,530,1125,2029,3528,5327,6928,9868,13489,25207,43249,69427,
2,17,157,538,1238,2248,3493,5338,6966,9775,13284,25011,43007,68813,
2,15,162,586,1301,2273,3482,5263,7038,9945,13813,24488,43540,70682,
2,17,137,556,1313,2305,3517,5096,6995,9571,13628,24779,43395,66653,
